mrid,conducting_equipment,connect,connected_terminals,current_feeder_direction,name,phases,sequence_number,traced_phases,connected,base_voltage,connectivity_node,connectivity_node_id,current_phases.terminal,names,normal_phases.terminal
103352-213144,AcLineSegment{103352},True,"[Terminal{420958-213144}, Terminal{21858356-213144}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{213144-cn},213144-cn,Terminal{103352-213144},<generator object ngen at 0x0000015E8FE996C0>,Terminal{103352-213144}
224874-118620,BusbarSection{224874},True,"[Terminal{33527123-118620}, Terminal{224873-118620}, Terminal{734906-118620}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{118620-cn},118620-cn,Terminal{224874-118620},<generator object ngen at 0x0000015E8FE996C0>,Terminal{224874-118620}
659384-288118,AcLineSegment{659384},True,"[Terminal{571364-288118}, Terminal{15678698-288118}, Terminal{571365-288118}, Terminal{571363-288118}, Terminal{659385-288118}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{288118-cn},288118-cn,Terminal{659384-288118},<generator object ngen at 0x0000015E8FE996C0>,Terminal{659384-288118}
443209-545678,AcLineSegment{443209},True,[Terminal{28894016-545678}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{545678-cn},545678-cn,Terminal{443209-545678},<generator object ngen at 0x0000015E8FE996C0>,Terminal{443209-545678}
435240-538890,AcLineSegment{435240},True,"[Terminal{27409712-538890}, Terminal{443209-538890}, Terminal{443239-538890}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{538890-cn},538890-cn,Terminal{435240-538890},<generator object ngen at 0x0000015E8FE996C0>,Terminal{435240-538890}
641509-702280,AcLineSegment{641509},True,"[Terminal{641510-702280}, Terminal{33260127-702280}, Terminal{695384-702280}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{702280-cn},702280-cn,Terminal{641509-702280},<generator object ngen at 0x0000015E8FE996C0>,Terminal{641509-702280}
685031-337644,AcLineSegment{685031},True,"[Terminal{192763-337644}, Terminal{685030-337644}, Terminal{656681-337644}, Terminal{29218994-337644}, Terminal{656690-337644}, Terminal{686526-337644}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{337644-cn},337644-cn,Terminal{685031-337644},<generator object ngen at 0x0000015E8FE996C0>,Terminal{685031-337644}
299640-430107,AcLineSegment{299640},True,"[Terminal{642587-430107}, Terminal{176890-430107}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{430107-cn},430107-cn,Terminal{299640-430107},<generator object ngen at 0x0000015E8FE996C0>,Terminal{299640-430107}
642608-267573,AcLineSegment{642608},True,"[Terminal{545805-267573}, Terminal{176895-267573}, Terminal{642605-267573}, Terminal{529841-267573}, Terminal{566131-267573}, Terminal{29217872-267573}, Terminal{642604-267573}, Terminal{176894-267573}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{267573-cn},267573-cn,Terminal{642608-267573},<generator object ngen at 0x0000015E8FE996C0>,Terminal{642608-267573}
729429-365536,Fuse{729429},True,"[Terminal{20694231-365536}, Terminal{220340-365536}, Terminal{220339-365536}, Terminal{729426-365536}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{365536-cn},365536-cn,Terminal{729429-365536},<generator object ngen at 0x0000015E8FE996C0>,Terminal{729429-365536}
