id,names,terminals,description,switch,num_terminals,is_switched
ConnectivityNode{407851-cn},[],"[Terminal{318767-407851}, Terminal{19110439-407851}, Terminal{318768-407851}]",,None,3,False
ConnectivityNode{479369-cn},[],"[Terminal{20727130-479369}, Terminal{20730109-479369}, Terminal{409802-479369}]",,None,3,False
ConnectivityNode{40532-cn},[],"[Terminal{19766-40532}, Terminal{232902-40532}]",,None,2,False
ConnectivityNode{619930-cn},[],"[Terminal{18257455-619930}, Terminal{570561-619930}]",,None,2,False
ConnectivityNode{16786-cn},[],"[Terminal{257469-16786}, Terminal{30930154-16786}]",,Fuse{257469},2,True
ConnectivityNode{668977-cn},[],"[Terminal{636788-668977}, Terminal{18284397-668977}]",,None,2,False
ConnectivityNode{245990-cn},[],"[Terminal{571289-245990}, Terminal{176646-245990}, Terminal{176647-245990}, Terminal{571290-245990}, Terminal{571288-245990}, Terminal{156504-245990}, Terminal{668011-245990}, Terminal{29218895-245990}]",,None,8,False
ConnectivityNode{630104-cn},[],"[Terminal{580099-630104}, Terminal{18007557-630104}]",,None,2,False
ConnectivityNode{488381-cn},[],"[Terminal{420285-488381}, Terminal{18009620-488381}, Terminal{420284-488381}]",,None,3,False
ConnectivityNode{282223-cn},[],"[Terminal{684971-282223}, Terminal{656631-282223}, Terminal{684970-282223}, Terminal{686466-282223}, Terminal{192771-282223}, Terminal{656622-282223}, Terminal{29218994-282223}]",,None,7,False
ConnectivityNode{618221-cn},[],"[Terminal{18009536-618221}, Terminal{152634-618221}]",,None,2,False
ConnectivityNode{226845-cn},[],"[Terminal{14440328-226845}, Terminal{533053-226845}, Terminal{686907-226845}, Terminal{533054-226845}]",,None,4,False
ConnectivityNode{569428-cn},[],"[Terminal{512761-569428}, Terminal{38236863-569428}, Terminal{136974-569428}]",,None,3,False
ConnectivityNode{144844-cn},[],"[Terminal{370839-144844}, Terminal{370840-144844}, Terminal{34267167-144844}]",,None,3,False
ConnectivityNode{26740-cn},[],[Terminal{12605-26740}],,None,1,False
ConnectivityNode{289838-cn},[],"[Terminal{680090-289838}, Terminal{31085106-289838}, Terminal{675302-289838}, Terminal{732514-289838}, Terminal{680092-289838}, Terminal{29708183-289838}]",,Fuse{732514},6,True
ConnectivityNode{680609-cn},[],"[Terminal{657910-680609}, Terminal{18007821-680609}]",,None,2,False
ConnectivityNode{471075-cn},[],"[Terminal{17147210-471075}, Terminal{95993-471075}]",,None,2,False
ConnectivityNode{301331-cn},[],"[Terminal{17341227-301331}, Terminal{703837-301331}]",,None,2,False
ConnectivityNode{486485-cn},[],"[Terminal{102457-486485}, Terminal{17340646-486485}, Terminal{102458-486485}]",,None,3,False
ConnectivityNode{260144-cn},[],"[Terminal{579483-260144}, Terminal{685589-260144}, Terminal{571192-260144}, Terminal{685590-260144}, Terminal{164092-260144}, Terminal{28943554-260144}, Terminal{579482-260144}]",,None,7,False
ConnectivityNode{68753-cn},[],"[Terminal{251592-68753}, Terminal{217030-68753}, Terminal{217031-68753}]",,Breaker{251592},3,True
ConnectivityNode{399355-cn},[],"[Terminal{36097991-399355}, Terminal{309616-399355}, Terminal{130275-399355}]",,None,3,False
ConnectivityNode{21801-cn},[],"[Terminal{219488-21801}, Terminal{707-21801}]",,None,2,False
ConnectivityNode{392265-cn},[],"[Terminal{302457-392265}, Terminal{19702482-392265}]",,None,2,False
ConnectivityNode{259776-cn},[],[Terminal{602484-259776}],,None,1,False
ConnectivityNode{113087-cn},[],"[Terminal{19065792-113087}, Terminal{309326-113087}, Terminal{308106-113087}]",,None,3,False
ConnectivityNode{310906-cn},[],"[Terminal{481398-310906}, Terminal{734888-310906}]",,Disconnector{734888},2,True
ConnectivityNode{250820-cn},[],"[Terminal{18007599-250820}, Terminal{580094-250820}]",,None,2,False
ConnectivityNode{8327-cn},[],[Terminal{46487-8327}],,Disconnector{46487},1,True
ConnectivityNode{371796-cn},[],"[Terminal{15712211-371796}, Terminal{283129-371796}]",,None,2,False
ConnectivityNode{342231-cn},[],"[Terminal{35760991-342231}, Terminal{258420-342231}, Terminal{241963-342231}, Terminal{35760985-342231}]",,Disconnector{258420},4,True
ConnectivityNode{570097-cn},[],"[Terminal{737795-570097}, Terminal{513484-570097}, Terminal{37284592-570097}]",,Disconnector{737795},3,True
ConnectivityNode{231442-cn},[],"[Terminal{18010264-231442}, Terminal{542240-231442}]",,None,2,False
ConnectivityNode{70332-cn},[],"[Terminal{220538-70332}, Terminal{729624-70332}, Terminal{220539-70332}]",,Disconnector{729624},3,True
ConnectivityNode{407837-cn},[],"[Terminal{711355-407837}, Terminal{318760-407837}, Terminal{711356-407837}]",,None,3,False
ConnectivityNode{274765-cn},[],"[Terminal{175026-274765}, Terminal{560198-274765}, Terminal{15709357-274765}, Terminal{602473-274765}]",,None,4,False
ConnectivityNode{90913-cn},[],"[Terminal{370840-90913}, Terminal{86626-90913}, Terminal{34267172-90913}, Terminal{267853-90913}]",,None,4,False
ConnectivityNode{164021-cn},[],"[Terminal{601916-164021}, Terminal{528483-164021}, Terminal{412416-164021}, Terminal{601915-164021}]",,None,4,False
ConnectivityNode{593004-cn},[],"[Terminal{18284245-593004}, Terminal{539948-593004}]",,None,2,False
ConnectivityNode{383393-cn},[],"[Terminal{19065256-383393}, Terminal{293510-383393}, Terminal{374793-383393}]",,None,3,False
ConnectivityNode{83236-cn},[],"[Terminal{249044-83236}, Terminal{38340-83236}]",,Disconnector{249044},2,True
ConnectivityNode{21816-cn},[],"[Terminal{642533-21816}, Terminal{10051-21816}, Terminal{554277-21816}]",,None,3,False
ConnectivityNode{274601-cn},[],"[Terminal{17337561-274601}, Terminal{174895-274601}]",,None,2,False
ConnectivityNode{447726-cn},[],"[Terminal{362467-447726}, Terminal{362466-447726}, Terminal{14473400-447726}, Terminal{83814-447726}]",,None,4,False
ConnectivityNode{321686-cn},[],"[Terminal{217062-321686}, Terminal{217063-321686}, Terminal{729998-321686}]",,Disconnector{729998},3,True
ConnectivityNode{102459-cn},[],"[Terminal{17348082-102459}, Terminal{59172-102459}, Terminal{59171-102459}]",,None,3,False
